DATA_YEAR,STATE_ABBR,POPULATION_GROUP_DESC,TIME_0001_0600_CNT,TIME_0601_1200_CNT,TIME_1201_1800_CNT,TIME_1801_0000_CNT,FIREARM_INJURY_CNT,FIREARM_NO_INJURY_CNT,KNIFE_INJURY_CNT,KNIFE_NO_INJURY_CNT,HANDS_FISTS_FEET_INJURY_CNT,HANDS_FISTS_FEET_NO_INJURY_CNT,OTHER_INJURY_CNT,OTHER_NO_INJURY_CNT,LEOKA_FELONY_KILLED,LEOKA_ACCIDENT_KILLED,TOTAL_ASSAULTED
2018,AL,"Cities from 2,500 thru 9,999",0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
2018,LA,"Cities from 10,000 thru 24,999",7,2,2,6,0,0,0,0,0,14,0,3,0,0,17
2018,SC,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,ID,"Cities under 2,500",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2018,SD,"Cities from 25,000 thru 49,999",4,1,0,9,0,0,0,0,11,3,0,0,0,0,14
2018,NJ,"Cities from 10,000 thru 24,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,TX,"Cities from 100,000 thru 249,999",7,14,21,19,0,3,1,0,7,46,0,4,0,0,61
2018,MA,"Cities from 10,000 thru 24,999",1,1,0,0,0,0,0,0,0,1,0,1,0,0,2
2018,PA,"Cities from 50,000 thru 99,999",5,9,16,32,0,3,0,0,12,47,0,0,0,0,62
2018,VA,"Non-MSA counties from 25,000 thru 99,999",0,1,2,0,0,0,0,0,1,2,0,0,0,0,3
2018,NM,"Cities under 2,500",1,0,0,1,0,0,0,0,1,1,0,0,0,0,2
2018,MA,"Cities from 10,000 thru 24,999",0,0,1,1,0,0,0,0,0,2,0,0,0,0,2
2018,MA,"Cities from 10,000 thru 24,999",0,1,0,2,0,0,0,1,0,2,0,0,0,0,3
2018,ID,"MSA counties 100,000 or over",1,5,5,6,1,0,0,0,2,8,0,6,0,0,17
2018,OK,"Cities from 10,000 thru 24,999",1,1,1,0,0,0,0,0,0,3,0,0,0,0,3
2018,KY,"Non-MSA counties from 10,000 thru 24,999",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,OK,"Non-MSA counties from 10,000 thru 24,999",1,0,2,2,0,0,0,0,1,1,1,2,0,0,5
2018,CO,"MSA counties 100,000 or over",17,19,15,24,0,2,0,0,50,6,12,5,1,0,75
2018,ID,"Non-MSA counties under 10,000",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,MA,"Cities from 2,500 thru 9,999",3,0,1,4,0,0,0,0,0,8,0,0,0,0,8
2018,ND,"Non-MSA counties under 10,000",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2018,PA,"MSA counties under 10,000",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2018,WA,"Non-MSA counties under 10,000",0,3,1,1,0,1,0,0,1,3,0,0,0,0,5
2018,PA,"Cities from 10,000 thru 24,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,TN,"Cities under 2,500",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2018,TX,"Cities from 10,000 thru 24,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,MI,"Cities from 10,000 thru 24,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,MA,"Cities from 25,000 thru 49,999",5,3,6,8,0,2,0,0,2,14,2,2,0,0,22
2018,CA,"Cities from 10,000 thru 24,999",0,3,0,1,0,0,0,0,0,2,0,2,0,0,4
2018,SC,"Cities from 25,000 thru 49,999",2,0,3,3,1,5,0,0,1,0,0,1,0,0,8
2018,WA,"Cities from 2,500 thru 9,999",0,0,1,3,0,0,1,0,1,2,0,0,0,0,4
